Price_of_stock, time, Market_Open/Close
116.39,3:14PM,Market open.
116.32,3:14PM,Market open.
116.30,3:14PM,Market open.
116.38,3:14PM,Market open.
116.38,3:14PM,Market open.
116.33,3:15PM,Market open.
116.40,3:15PM,Market open.
116.42,3:15PM,Market open.
116.52,3:15PM,Market open.
116.46,3:15PM,Market open.
116.48,3:16PM,Market open.
116.47,3:16PM,Market open.
116.53,3:16PM,Market open.
116.49,3:16PM,Market open.
116.46,3:16PM,Market open.
116.42,3:16PM,Market open.
116.45,3:17PM,Market open.
116.50,3:17PM,Market open.
116.46,3:17PM,Market open.
116.46,3:17PM,Market open.
116.43,3:17PM,Market open.
116.54,3:17PM,Market open.
116.69,3:18PM,Market open.
116.69,3:18PM,Market open.
116.71,3:18PM,Market open.
116.69,3:18PM,Market open.
116.78,3:18PM,Market open.
116.77,3:18PM,Market open.
116.88,3:19PM,Market open.
116.81,3:19PM,Market open.
116.83,3:19PM,Market open.
116.81,3:19PM,Market open.
116.82,3:19PM,Market open.
116.79,3:20PM,Market open.
116.75,3:20PM,Market open.
116.80,3:20PM,Market open.
